Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Kalium,Klorid,Kalcium,Fluorid,Magnesium,Natrium,Vitamin B12,Vitamin B6,Vitamin C,Riboflavin,Niacin,Pantotensyra,Biotin,Krom,Fiber,Folsyra,Vitamin D,Vitamin E,Selen,Zink,Fosfor,Koppar,Järn,Mangan,Varav polyoler,Vitamin A,Tiamin,Citronsyra,url
Kombucha Lemon Ginger 414ml Humm,"42,90 kr","0.414L 103,62 kr/l",20 kcal,84 kJ,0 g,0 g,5 g,4 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kombucha-lemon-ginger-414ml-humm/2024390
Pina colada 1l Tropic Dream,"31,90 kr","1L 31,90 kr/l",64 kcal,274 kJ,0.5 g,0.1 g,15 g,15 g,0.5 g,0.14 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pina-colada-1l-tropic-dream/1460507
"Vatten Kolsyrad Original 1,5l Ramlösa","18,90 kr","1.5L 12,60 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-original-1-5l-raml%C3%B6sa/1511571
Icetea Persika 2l Pfanner,"31,90 kr","2L 15,95 kr/l",25 kcal,108 kJ,0.5 g,0.1 g,6.2 g,6.2 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/icetea-persika-2l-pfanner/1445575
"Läsk Lemon Zero Fanta 1,5l","27,90 kr","1.5L 18,60 kr/l exkl pant",2 kcal,9 kJ,0 g,0 g,0.2 g,0.2 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-lemon-zero-fanta-1-5l/2084364
"Läsk Champis 1,5l Spendrups","24,90 kr","1.5L 16,60 kr/l exkl pant",40 kcal,150 kJ,0 g,0 g,8.7 g,8.7 g,0 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-champis-1-5l-spendrups/1314167
Fruktdryck Multivitamin 2l Glocken Gold,"27,90 kr","2L 13,95 kr/l",21 kcal,89 kJ,0.5 g,0.1 g,4.9 g,4.8 g,0.5 g,0.01 g,,,,,,,0.38 µg,0.21 mg,12 mg,,2.4 mg,0.9 mg,7.5 µg,,,30 µg,,1.8 mg,,,,,,,,120 µg,0.17 mg,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-multivitamin-2l-glocken-gold/1023404
Vatten Kolsyrad Naturell 50cl Loka,"15,90 kr","0.5L 31,80 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-naturell-50cl-loka/1004423
Äppelmust med fruktkött Årets skörd 1l Miljömärkt Kiviks,"39,90 kr","1L 39,90 kr/l",50 kcal,200 kJ,0.1 g,0 g,10.8 g,10.2 g,0.1 g,0 g,,,,,,,,,,,,,,,1 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4ppelmust-med-fruktk%C3%B6tt-%C3%A5rets-sk%C3%B6rd-1l-milj%C3%B6m%C3%A4rkt-kiviks/1355017
Energidryck Kaktus 25cl Red Bull,"17,90 kr","0.25L 71,60 kr/l exkl pant",45 kcal,192 kJ,0 g,0 g,11 g,11 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-kaktus-25cl-red-bull/2078471
"Vatten Kolsyrad Granatäpple 1,5l Ramlösa","18,90 kr","1.5L 12,60 kr/l exkl pant",,,,,,,,,2 mg,16 mg,3.5 mg,2.3 mg,0.8 mg,210 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-granat%C3%A4pple-1-5l-raml%C3%B6sa/1511553
Läsk Zero 33cl Fanta,"13,90 kr","0.33L 42,12 kr/l exkl pant",3 kcal,11 kJ,0 g,0 g,0.4 g,0.4 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-zero-33cl-fanta/2132658
"Öl Porter 3,5% 50cl Carnegie","24,00 kr","0.5L 48,00 kr/l exkl pant",32 kcal,136 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-porter-3-5-50cl-carnegie/1372754
Bryggkaffe Kharisma 450g Löfbergs,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-kharisma-450g-l%C3%B6fbergs/1476574
Juice Tropisk 2l Bravo,"53,00 kr","2L 26,50 kr/l",45 kcal,180 kJ,0 g,0 g,9 g,9 g,0 g,0 g,,,,,,,,,,,,,,,0.3 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-tropisk-2l-bravo/1365725
Smaksatt Vatten Sour Apple 80cl Zeroh,"37,90 kr","8L 4,74 kr/l exkl pant",1.1 kcal,4.6 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smaksatt-vatten-sour-apple-80cl-zeroh/2150533
Lemonad Drakfrukt 850ml Brämhults,"51,00 kr","0.85L 60,00 kr/l exkl pant",43 kcal,182 kJ,0 g,0 g,9.9 g,9.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lemonad-drakfrukt-850ml-br%C3%A4mhults/2107370
Vatten Kolsyrat Svarta Vinbär 50cl Ramlösa,"15,90 kr","0.5L 31,80 kr/l exkl pant",,,,,,,,,4 mg,39 mg,100 mg,0.2 mg,11.5 mg,16 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-svarta-vinb%C3%A4r-50cl-raml%C3%B6sa/2125527
Vitamindryck Zero Peach 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l exkl pant",1 kcal,5 kJ,0 g,0 g,1.4 g,0 g,0 g,0.01 g,,,,,,,0.25 µg,0.28 mg,,,1.6 mg,0.48 mg,5 µg,,,,0.8 µg,1.4 mg,,,,,,,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vitamindryck-zero-peach-50cl-vitamin-well/2149196
Vitamindryck Zero Pear 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l",1 kcal,5 kJ,0 g,0 g,1.4 g,0 g,0 g,0.01 g,,,,,,,0.25 µg,0.28 mg,16 mg,,1.6 mg,0.48 mg,5 µg,,,,0.8 µg,1.4 mg,,,,,,,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vitamindryck-zero-pear-50cl-vitamin-well/2149195
Te Svart Forest Fruit Pyramid 20p Lipton,"31,90 kr","20 per frp 1,60 kr/st",4 kcal,17 kJ,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-svart-forest-fruit-pyramid-20p-lipton/2139050
