Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Vitamin B12,Vitamin D,Kalcium,Varav fleromättat fett,Varav enkelomättat fett,Vitamin A,Fiber,Vitamin C,Riboflavin,Jod,Pantotensyra,Kalium,Klorid,Fosfor,Molybden,Vitamin K,Natrium,Vitamin E,Magnesium,Selen,Zink,Folsyra,Järn,Vitamin B6,Niacin,Biotin,Tiamin,Varav polyoler,url
Kefir Persika Laktosfri 250ml Valio,"19,90 kr","0.25L 79,60 kr/l",58 kcal,246 kJ,1.3 g,0.8 g,7.6 g,7.1 g,3.3 g,0.12 g,0.19 µg,1.5 µg,120 mg,,,,,40 mg,,,,,,,,,,,,,1 mg,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kefir-persika-laktosfri-250ml-valio/2169113
Bordsmargarin Smörgås Mjölkfritt 400g ICA,"27,90 kr","0.4kg 69,75 kr/kg",630 kcal,2590 kJ,70 g,20 g,0 g,0 g,0 g,0.7 g,,20 µg,,15 g,32 g,900 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bordsmargarin-sm%C3%B6rg%C3%A5s-mj%C3%B6lkfritt-400g-ica/1505946
Visp Bondböna 23% 500ml ICA,"33,90 kr","0.5L 67,80 kr/l",250 kcal,1046 kJ,23 g,22 g,10 g,5 g,0.8 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/visp-bondb%C3%B6na-23-500ml-ica/2141191
Mozzarella 125g Galbani,"24,90 kr","0.125kg 199,20 kr/kg u. spad",238 kcal,989 kJ,18 g,13 g,2 g,1 g,17 g,0.7 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mozzarella-125g-galbani/1268699
Grana Padano Flarn 100g Zeta,"53,00 kr","0.1kg 530,00 kr/kg",398 kcal,1654 kJ,29 g,18 g,0 g,0 g,33 g,1.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grana-padano-flarn-100g-zeta/1428110
"Proteinkvarg Jordgubb 0,2% 900g Lindahls","54,00 kr","0.9kg 60,00 kr/kg",58 kcal,246 kJ,0.2 g,0.1 g,3.4 g,3.1 g,10 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinkvarg-jordgubb-0-2-900g-lindahls/2169188
Havredryck iKaffe Light 1000ml Oatly,"24,90 kr","1L 24,90 kr/l",52 kcal,220 kJ,2.1 g,0.2 g,7 g,3.4 g,1.1 g,0.1 g,0.24 µg,1.1 µg,120 mg,,,,0.8 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-ikaffe-light-1000ml-oatly/2141919
"Yoghurt Mini Kokos Ananas 0,1% 1000g Yoggi®","35,90 kr","1kg 35,90 kr/kg",35 kcal,148 kJ,0.1 g,0.1 g,4.3 g,3.9 g,3.6 g,0.08 g,,0.9 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mini-kokos-ananas-0-1-1000g-yoggi/2151648
Yoghurt Vanilj & Nötter 190g Tine,"21,90 kr","0.19kg 115,26 kr/kg",143 kcal,598 kJ,8.1 g,2.3 g,12 g,9.5 g,5.5 g,0.1 g,,,,,,,1 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-vanilj-n%C3%B6tter-190g-tine/2141775
"Färsk lättmjölk 0,5% Ekologisk 1l Arla Ko®","19,90 kr","1L 19,90 kr/l",38 kcal,160 kJ,0.5 g,0.3 g,4.7 g,4.7 g,3.6 g,0.09 g,0.4 µg,1 µg,124 mg,,,,,,0.14 mg,,0.5 mg,160 mg,92 mg,139 mg,3.8 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-l%C3%A4ttmj%C3%B6lk-0-5-ekologisk-1l-arla-ko/1390122
