Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Vitamin D,Kalcium,Järn,Natrium,Zink,Varav fleromättat fett,Varav enkelomättat fett,Selen,url
Kycklingfilé ca 300g Kronfågel,Ca,"Ca 0.3kg 258,00 kr/kg",120 kcal,480 kJ,2 g,0.5 g,0.5 g,0.5 g,23 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingfil%C3%A9-ca-300g-kronf%C3%A5gel/1278037
Antipasto Classico 120g ICA,"59,00 kr","0.12kg 491,67 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/antipasto-classico-120g-ica/1447257
Salsicciafärs 500g ICA,"61,00 kr","0.5kg 122,00 kr/kg",247 kcal,1023 kJ,21 g,8.9 g,0.5 g,0.5 g,15 g,1.6 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salsicciaf%C3%A4rs-500g-ica/2099837
Skinka Rökt Tunna Skivor 200g ICA,"31,90 kr","0.2kg 159,50 kr/kg",90 kcal,381 kJ,1.1 g,0.4 g,2 g,0.5 g,18 g,2.4 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skinka-r%C3%B6kt-tunna-skivor-200g-ica/1128024
Jamón Serrano 100g ICA,"48,90 kr","0.1kg 489,00 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jam%C3%B3n-serrano-100g-ica/1461368
Prosciutto Crudo 120g ICA,"77,00 kr","0.12kg 641,67 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/prosciutto-crudo-120g-ica/1447253
Salami Napoli 70g ICA,"29,90 kr","0.07kg 427,14 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-napoli-70g-ica/1447256
Kycklingfilé Färsk ca 925g Kronfågel,Ca,"Ca 0.925kg 190,00 kr/kg",120 kcal,480 kJ,2 g,0.5 g,0.5 g,0.5 g,23 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingfil%C3%A9-f%C3%A4rsk-ca-925g-kronf%C3%A5gel/1278035
Entrecôte skivad 200g ICA,"99,00 kr","0.2kg 495,00 kr/kg",140 kcal,600 kJ,6.1 g,3 g,0 g,0 g,22 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/entrec%C3%B4te-skivad-200g-ica/1512842
Kycklingkebab 275g Schysst käk,"65,00 kr","0.275kg 236,36 kr/kg",177 kcal,736 kJ,11 g,2.8 g,1 g,0.5 g,18 g,1.9 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingkebab-275g-schysst-k%C3%A4k/2016401
Varmkorv med Skinn 900g Lithells,"59,00 kr","0.9kg 65,56 kr/kg",280 kcal,1150 kJ,23 g,9 g,9.9 g,2.5 g,8.2 g,2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/varmkorv-med-skinn-900g-lithells/2117722
Mortadella 100g Zeta,"43,90 kr","0.1kg 439,00 kr/kg",305 kcal,1262 kJ,26 g,9.9 g,3.3 g,0 g,15 g,1.9 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mortadella-100g-zeta/1337968
Köttbullar Delikatess 450g Scan,"65,00 kr","0.45kg 144,44 kr/kg",220 kcal,900 kJ,15 g,6 g,8.5 g,1.5 g,13 g,1.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-delikatess-450g-scan/2005005
Salami Picante Sticks 80g Göl,"30,90 kr","0.08kg 386,25 kr/kg",571 kcal,2363 kJ,51 g,20 g,3 g,0.5 g,25 g,5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-picante-sticks-80g-g%C3%B6l/1499131
Kycklingsteak Färsk Urbenad Kycklingklubba ca 900g Kronfågel,Ca,"Ca 0.9kg 131,00 kr/kg",190 kcal,800 kJ,13 g,3.4 g,0.5 g,0.5 g,18 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingsteak-f%C3%A4rsk-urbenad-kycklingklubba-ca-900g-kronf%C3%A5gel/2005301
Nötfärs Färsk 12% 500g ICA,"86,00 kr","0.5kg 172,00 kr/kg",184 kcal,767 kJ,12 g,5.3 g,0.5 g,0.5 g,19 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tf%C3%A4rs-f%C3%A4rsk-12-500g-ica/2107377
