Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Kalium,Tiamin,Zink,Varav enkelomättat fett,Varav fleromättat fett,Järn,Magnesium,Folsyra,Fosfor,Vitamin C,Vitamin E,Natrium,Kalcium,Niacin,url
Ugn & grillfolie 40cm 10m ICA,"36,90 kr","10m 3,69 kr/m",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ugn-grillfolie-40cm-10m-ica/1406159
Salladskrydda Italiensk 52g Santa Maria,"31,90 kr","0.052kg 613,46 kr/kg",201 kcal,848 kJ,1.7 g,0.4 g,35 g,13 g,7.2 g,40.1 g,8.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salladskrydda-italiensk-52g-santa-maria/2023190
Pasta Risoni 500g Barilla,"24,90 kr","0.5kg 49,80 kr/kg",359 kcal,1521 kJ,2 g,0.5 g,72 g,3.5 g,12 g,0.01 g,3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-risoni-500g-barilla/2068409
Krydda Svartpeppar Hel påse 70g Santa Maria,"38,90 kr","0.07kg 555,71 kr/kg",276 kcal,1158 kJ,3.3 g,1.4 g,39 g,0.6 g,10 g,0.05 g,25 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/krydda-svartpeppar-hel-p%C3%A5se-70g-santa-maria/1528726
Fryspåsar 3l 30-p Miljömärk ICA Basic,"11,90 kr","30 per frp 0,40 kr/st",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/frysp%C3%A5sar-3l-30-p-milj%C3%B6m%C3%A4rk-ica-basic/2021890
Russin Kärnfria 500g ICA,"64,00 kr","0.5kg 128,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/russin-k%C3%A4rnfria-500g-ica/1026322
Cheerios Fullkorn 375g Nestle,"51,00 kr","0.375kg 136,00 kr/kg",384 kcal,1621 kJ,4.8 g,0.9 g,70.1 g,17.7 g,10.1 g,0.81 g,9.8 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cheerios-fullkorn-375g-nestle/1508865
Svartpeppar Mellanmalen 30g Santa Maria,"36,90 kr","0.03kg 1 230,00 kr/kg",276 kcal,1158 kJ,3.3 g,1.4 g,39 g,0.6 g,10 g,0.05 g,25 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svartpeppar-mellanmalen-30g-santa-maria/2023246
Pasta Spirali Tricolore 500g ICA,"18,90 kr","0.5kg 37,80 kr/kg",350 kcal,1500 kJ,1.4 g,0.5 g,72 g,3.9 g,11 g,0 g,3.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-spirali-tricolore-500g-ica/1529808
Pasta Rigatoni 500g Barilla,"22,90 kr","0.5kg 45,80 kr/kg",359 kcal,1521 kJ,2 g,0.5 g,71 g,3.5 g,13 g,0.01 g,3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-rigatoni-500g-barilla/1366507
Pasta Fusilli Glutenfri 400g Barilla,"24,90 kr","0.4kg 62,25 kr/kg",359 kcal,1524 kJ,1.8 g,0.3 g,78.7 g,1.2 g,6.5 g,0.003 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-fusilli-glutenfri-400g-barilla/1467304
Majs 3p 450g ICA,"32,90 kr","0.42kg 78,33 kr/kg u. spad",80 kcal,334 kJ,1.5 g,0 g,13 g,5.8 g,2.1 g,0.43 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majs-3p-450g-ica/2141056
