Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Natrium,Varav fleromättat fett,Varav enkelomättat fett,url
Pasta Cup Tomat och Mozzarella 70g ICA,"24,90 kr","0.07kg 355,71 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-cup-tomat-och-mozzarella-70g-ica/2060003
Färdigmat Ramen Biff 365g Ichiro,"76,00 kr","0.365kg 208,22 kr/kg",189 kcal,798 kJ,12.3 g,6.2 g,15 g,2.2 g,0.8 g,13 g,0.8 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-ramen-biff-365g-ichiro/2141123
Pasta Snack Pot Bolognese 60g Knorr,"26,90 kr","0.06kg 448,33 kr/kg",94 kcal,392 kJ,1.9 g,0.9 g,16 g,2.8 g,1.5 g,3.4 g,0.58 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-snack-pot-bolognese-60g-knorr/2079079
Pasta Tortellini Ricottaost & Spenat Färsk 500g ICA,"62,00 kr","0.5kg 124,00 kr/kg",277 kcal,1168 kJ,6.4 g,2 g,43 g,4.2 g,,10 g,0.58 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-tortellini-ricottaost-spenat-f%C3%A4rsk-500g-ica/2116969
Mangoraja 250ml Rydbergs,"38,90 kr","0.25L 155,60 kr/l",560 kcal,2350 kJ,56 g,4.2 g,14 g,13 g,,0.8 g,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mangoraja-250ml-rydbergs/1025674
Soldatens ärtsoppa med Fläsk 570g Knorr,"47,90 kr","0.8L 59,88 kr/l drickklar",142 kcal,594 kJ,5.5 g,2 g,11 g,0.9 g,4.6 g,9.5 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/soldatens-%C3%A4rtsoppa-med-fl%C3%A4sk-570g-knorr/1004352
Ceasardressing 255ml Erik såser,"40,90 kr","0.255L 160,39 kr/l",550 kcal,2250 kJ,57 g,4.5 g,2.1 g,1.7 g,,1.6 g,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ceasardressing-255ml-erik-s%C3%A5ser/1414585
Tzatziki Äkta Grekisk Orginalet 350g Fontana,"48,90 kr","0.35kg 139,71 kr/kg",131 kcal,542 kJ,10.1 g,3 g,4.5 g,4 g,,5.4 g,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tzatziki-%C3%A4kta-grekisk-orginalet-350g-fontana/2024340
Falafel Vegansk Fryst 900g Anamma,"114,00 kr","0.9kg 126,67 kr/kg",305 kcal,1275 kJ,18 g,1.3 g,25 g,1.3 g,5.3 g,9 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/falafel-vegansk-fryst-900g-anamma/2011359
Hummus Jalapeño 200g Fontana,"39,90 kr","0.2kg 199,50 kr/kg",322 kcal,1330 kJ,27.4 g,3.6 g,6.4 g,0.8 g,,8.6 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hummus-jalape%C3%B1o-200g-fontana/2108561
Tzatziki Äkta Grekisk Laktosfri 200g Fontana,"38,90 kr","0.2kg 194,50 kr/kg",130 kcal,540 kJ,10 g,5 g,5.1 g,3.5 g,,4.9 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tzatziki-%C3%A4kta-grekisk-laktosfri-200g-fontana/2108563
Pasta Fettuccine Färsk 250g ICA,"24,90 kr","0.25kg 99,60 kr/kg",276 kcal,1167 kJ,2.9 g,0.8 g,50 g,1.2 g,,11 g,0.05 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-fettuccine-f%C3%A4rsk-250g-ica/2116938
Potatisgnocchi 500g Rana,"44,90 kr","0.5kg 89,80 kr/kg",146 kcal,618 kJ,0.5 g,0.2 g,31 g,0.5 g,,3.1 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatisgnocchi-500g-rana/2101083
Pastasås Tomat och Crème Fraiche 5dl Kelda®,"53,00 kr","0.5L 106,00 kr/l",71 kcal,298 kJ,4 g,2.2 g,6.5 g,3.8 g,,1.4 g,0.99 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pastas%C3%A5s-tomat-och-cr%C3%A8me-fraiche-5dl-kelda/2152998
Fralla med Ost och Sallad 92g ICA,"30,90 kr","0.092kg 335,87 kr/kg",358 kcal,1491 kJ,25 g,11 g,25 g,2.7 g,,7.6 g,0.47 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fralla-med-ost-och-sallad-92g-ica/2107460
