Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Varav polyoler,Fosfor,Vitamin B12,Vitamin D,Folsyra,Selen,Järn,Magnesium,Zink,Varav enkelomättat fett,Varav fleromättat fett,Fluorid,Vitamin B6,Natrium,Kalcium,Material,Kalium,Vitamin E,Pantotensyra,url
Jordnötter 250g ICA,"25,90 kr","0.25kg 103,60 kr/kg",617 kcal,2555 kJ,51 g,7.9 g,11 g,5.3 g,25 g,0.97 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jordn%C3%B6tter-250g-ica/1328526
Dessertglass Spectacu-love 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",294 kcal,1233 kJ,19 g,11 g,26 g,22 g,3.8 g,0.23 g,0.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dessertglass-spectacu-love-465ml-ben-jerrys/2143313
Glass Jordgubb & Lemon Curd 1.75ml Triumf Glass,"39,00 kr","1.75L 22,29 kr/l",190 kcal,800 kJ,9.6 g,6.3 g,24 g,23 g,3 g,0.19 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-jordgubb-lemon-curd-1-75ml-triumf-glass/2154441
Chokladkaka EXCELLENCE Mint Mörk Choklad 100g Lindt,"55,00 kr","0.1kg 550,00 kr/kg",535 kcal,2230 kJ,32 g,19 g,52 g,47 g,6 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-excellence-mint-m%C3%B6rk-choklad-100g-lindt/1297776
Salty Liquorice 90g Nellie Dellies,"37,90 kr","0.09kg 421,11 kr/kg",183 kcal,747 kJ,0.5 g,0.1 g,10 g,2.6 g,6.1 g,1.1 g,58 g,0.6 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salty-liquorice-90g-nellie-dellies/1493370
Glass Heavenly Chocolate Mjölk och laktosfri Vegansk 750ml Choice,"42,90 kr","0.75L 57,20 kr/l",169 kcal,711 kJ,6.1 g,5.1 g,27 g,16 g,1.6 g,0.29 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-heavenly-chocolate-mj%C3%B6lk-och-laktosfri-vegansk-750ml-choice/2077398
Godispåse Tutti Frutti Remix Sour 150g Fazer,"24,90 kr","0.15kg 166,00 kr/kg",366 kcal,1543 kJ,0.5 g,0 g,91 g,61 g,0.5 g,0.34 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-tutti-frutti-remix-sour-150g-fazer/2141188
Skruvar Lättsaltade 100g OLW,"26,90 kr","0.1kg 269,00 kr/kg",490 kcal,2040 kJ,22 g,1.9 g,67 g,1.3 g,3.3 g,1.8 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skruvar-l%C3%A4ttsaltade-100g-olw/1000975
Goody Raspberry Blueberry 90g Bubs Godis,"15,90 kr","0.09kg 176,67 kr/kg",351 kcal,1468 kJ,0 g,0 g,87 g,61 g,0.4 g,0.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/goody-raspberry-blueberry-90g-bubs-godis/2062858
Chokladpåse Non Stop Christmas LTD 150g Marabou,"47,90 kr","0.15kg 319,33 kr/kg",500 kcal,2097 kJ,22 g,13 g,69 g,68 g,5.5 g,0.13 g,2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladp%C3%A5se-non-stop-christmas-ltd-150g-marabou/2166137
