Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Varav polyoler,Fosfor,Vitamin B12,Vitamin D,Folsyra,Selen,Järn,Magnesium,Zink,Varav enkelomättat fett,Varav fleromättat fett,Fluorid,Vitamin B6,Natrium,Kalcium,Material,Kalium,Vitamin E,Pantotensyra,url
Godispåse Spaghetti Jordgubb 70g bebeto,"10,90 kr","0.07kg 155,71 kr/kg",380 kcal,1610 kJ,2.9 g,1.6 g,85.7 g,57 g,2.7 g,0 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-spaghetti-jordgubb-70g-bebeto/2134237
Mandelspån Rostade 50g Dr.Oetker,"24,90 kr","0.05kg 498,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mandelsp%C3%A5n-rostade-50g-dr-oetker/1003408
Nötmix Honung & Salt Mandel 175g Estrella,"40,90 kr","0.175kg 233,71 kr/kg",534 kcal,2226 kJ,34.2 g,4.1 g,36.5 g,33.6 g,16.9 g,1.1 g,6.7 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tmix-honung-salt-mandel-175g-estrella/2090154
Halstabletter Salmiak Sockerfri 25g Fisherman's Friend,"20,90 kr","0.025kg 836,00 kr/kg",244 kcal,1017 kJ,1.2 g,1.1 g,92 g,0.5 g,0.6 g,0.25 g,0.73 g,86 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstabletter-salmiak-sockerfri-25g-fisherman-s-friend/1002498
Godis Super Santa 100g Tweek,"39,90 kr","0.1kg 399,00 kr/kg",150 kcal,610 kJ,0.9 g,0 g,11.1 g,1.33 g,4.02 g,0.01 g,56 g,7.61 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-super-santa-100g-tweek/2062613
Kexchoklad 100g Cloetta,"20,90 kr","0.1kg 209,00 kr/kg",502 kcal,2106 kJ,24 g,14 g,61 g,42 g,9.7 g,0.41 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kexchoklad-100g-cloetta/1001701
Godispåse Fruxo Fruktsmak 95g Malaco,"16,90 kr","0.095kg 177,89 kr/kg",349 kcal,1482 kJ,0.3 g,0.2 g,81 g,56 g,5.3 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-fruxo-fruktsmak-95g-malaco/2127770
Glass Cookie Dough Peaces 160ml Ben & Jerrys,"72,00 kr","0.16L 450,00 kr/l",380 kcal,1589 kJ,24 g,10 g,37 g,29 g,4.1 g,0.35 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-cookie-dough-peaces-160ml-ben-jerrys/2143311
Extra strong Original 25g Cloetta,"9,90 kr","0.025kg 396,00 kr/kg",396 kcal,1683 kJ,0.9 g,0.9 g,97 g,97 g,0 g,0.16 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/extra-strong-original-25g-cloetta/1454427
Nötmix Mango 175g OLW,"44,90 kr","0.175kg 256,57 kr/kg",560 kcal,2350 kJ,40 g,6.3 g,29 g,18 g,18 g,0.9 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tmix-mango-175g-olw/2126436
Marsipanbröd Original 40g Anthon Berg,"17,90 kr","0.04kg 447,50 kr/kg",515 kcal,2149 kJ,31 g,7.8 g,46 g,38 g,10 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/marsipanbr%C3%B6d-original-40g-anthon-berg/1002505
Pistagenötter Rostade & saltade 350g Exotic Snacks,"117,00 kr","0.35kg 334,29 kr/kg",585 kcal,2425 kJ,45 g,5.5 g,20 g,7.7 g,21 g,1 g,9.9 g,,,,,,,3.9 mg,,,24 g,13 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pistagen%C3%B6tter-rostade-saltade-350g-exotic-snacks/1394625
Salta Jordnötter 300g OLW,"32,90 kr","0.3kg 109,67 kr/kg",630 kcal,2600 kJ,53 g,9.8 g,9.5 g,3.1 g,28 g,1.3 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salta-jordn%C3%B6tter-300g-olw/1001945
Kina Gul Snacks 180g Fazer,"47,90 kr","0.18kg 266,11 kr/kg",540 kcal,2252 kJ,30 g,19 g,57 g,49 g,7.5 g,0.25 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kina-gul-snacks-180g-fazer/2117789
Choklad Polly Original Blå 200g Cloetta,"40,90 kr","0.2kg 204,50 kr/kg",464 kcal,1946 kJ,18 g,10 g,71 g,68 g,4.1 g,0.09 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklad-polly-original-bl%C3%A5-200g-cloetta/1403795
Glass Farbror Arnes Lemon Curd 1p Triumf Glass,"36,90 kr",,320 kcal,1300 kJ,18 g,11 g,34 g,28 g,3.8 g,0.13 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-farbror-arnes-lemon-curd-1p-triumf-glass/2130228
S-märke orginalet Supersurt 80g Candypeople,"16,90 kr","0.08kg 211,25 kr/kg",370 kcal,1550 kJ,0 g,0 g,81 g,58 g,6.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s-m%C3%A4rke-orginalet-supersurt-80g-candypeople/1499897
Pippi Krumelurglass 6-p SIA Glass,"59,00 kr","6 per frp 9,83 kr/st",230 kcal,950 kJ,13 g,8.6 g,24 g,23 g,3.8 g,0.1 g,0 g,0 g,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pippi-krumelurglass-6-p-sia-glass/2154434
Tuggummi Sockerfri Original 30g Stimorol,"22,90 kr","0.03kg 763,33 kr/kg",170 kcal,707 kJ,0.3 g,0.1 g,65 g,0.5 g,0.8 g,0.1 g,,63 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-sockerfri-original-30g-stimorol/2150716
Filidutter 65g Konfekta,"13,90 kr","0.065kg 213,85 kr/kg",390 kcal,1620 kJ,0 g,0 g,93.9 g,73.8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filidutter-65g-konfekta/2011531
Mjölkchoklad Mintchoko Rulle 78g Marabou,"31,90 kr","0.078kg 408,97 kr/kg",505 kcal,2105 kJ,27 g,16 g,60 g,54 g,5.5 g,0.35 g,1.4 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mj%C3%B6lkchoklad-mintchoko-rulle-78g-marabou/2053848
Godispåse Tutti Frutti Remix Duo 80g Fazer,"16,90 kr","0.08kg 211,25 kr/kg",362 kcal,1523 kJ,0.5 g,0 g,89 g,61 g,0.5 g,0.19 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-tutti-frutti-remix-duo-80g-fazer/2159041
Pingvinstång Sur Smultron 27g Pingvin,"7,90 kr","0.027kg 292,59 kr/kg",373 kcal,1582 kJ,3.7 g,3.5 g,82 g,66 g,0.9 g,0.21 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pingvinst%C3%A5ng-sur-smultron-27g-pingvin/1368751
Glass F A Kanelbulle 1-p Triumf Glass,"36,90 kr",,350 kcal,1500 kJ,20 g,12 g,38 g,30 g,3.8 g,0.19 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-f-a-kanelbulle-1-p-triumf-glass/2154463
Dippmix Onion 22g Estrella,"14,90 kr","0.022kg 677,27 kr/kg",300 kcal,1270 kJ,0.9 g,0.1 g,64 g,52 g,7.2 g,19 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dippmix-onion-22g-estrella/1004155
Mikropopcorn Saltade 10-p 900g ICA,"74,00 kr","0.9kg 82,22 kr/kg",458 kcal,1919 kJ,18 g,7.6 g,59 g,0.9 g,9.5 g,1.4 g,11 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mikropopcorn-saltade-10-p-900g-ica/2130488
Godispåse Peaches Sour 70g Haribo,"13,90 kr","0.07kg 198,57 kr/kg",367 kcal,1558 kJ,0.5 g,0.1 g,86 g,68 g,4.4 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-peaches-sour-70g-haribo/2141282
Mandlar Rostade & saltade 100g ICA,"36,90 kr","0.1kg 369,00 kr/kg",634 kcal,2623 kJ,55 g,,5.9 g,3.8 g,25 g,1 g,8.1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mandlar-rostade-saltade-100g-ica/1476679
Chokladkaka Salta Mandlar 160g Marabou,"38,90 kr","0.16kg 243,13 kr/kg",553 kcal,2310 kJ,32 g,17 g,58 g,57 g,5.7 g,0.5 g,2.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-salta-mandlar-160g-marabou/2166167
Plopp Dubbel 50g Cloetta,"15,90 kr","0.05kg 318,00 kr/kg",475 kcal,1998 kJ,23 g,14 g,63 g,49 g,4.1 g,0.41 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/plopp-dubbel-50g-cloetta/1363638
Glass Bonbon Salted Caramel & Almond 204 Milliliter Magnum,"64,00 kr","0.204L 313,73 kr/l",360 kcal,1505 kJ,21 g,12 g,38 g,32 g,4.9 g,0.35 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-bonbon-salted-caramel-almond-204-milliliter-magnum/2143314
Glass Marshmallow & S'more! 427ml Ben & Jerrys,"84,00 kr","0.427L 196,72 kr/l",254 kcal,1064 kJ,12 g,8 g,32 g,25 g,3.8 g,0.26 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-marshmallow-s-more-427ml-ben-jerrys/2130364
Glasspinne Sitting Bull 8-p Triumf Glass,"52,00 kr","8 per frp 6,50 kr/st",330 kcal,1350 kJ,19 g,8.8 g,35 g,35 g,2.2 g,0.15 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-sitting-bull-8-p-triumf-glass/2086313
Chips Original 40g Pringles,"18,90 kr","0.04kg 472,50 kr/kg",534 kcal,2227 kJ,31 g,2.8 g,56 g,1.2 g,5.9 g,1.1 g,3.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-original-40g-pringles/1477148
Chokladkaka EXCELLENCE Apelsin Mörk Choklad 100g Lindt,"55,00 kr","0.1kg 550,00 kr/kg",538 kcal,2240 kJ,33 g,20 g,50 g,48 g,6.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-excellence-apelsin-m%C3%B6rk-choklad-100g-lindt/1000969
Plommon Soft Ekologisk 200g ICA I love eco,"37,90 kr","0.2kg 189,50 kr/kg",245 kcal,1035 kJ,0.5 g,0.5 g,55 g,39 g,1.4 g,0.02 g,7.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/plommon-soft-ekologisk-200g-ica-i-love-eco/1355355
Chokladpraliner Aladdin 500g Marabou,"182,00 kr","0.5kg 364,00 kr/kg",520 kcal,2171 kJ,29 g,16 g,58 g,54 g,3.5 g,0.21 g,3.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladpraliner-aladdin-500g-marabou/1003824
Dippmix Chili cheez 23g OLW,"13,90 kr","0.023kg 604,35 kr/kg",323 kcal,1352 kJ,6.1 g,3.4 g,59 g,20 g,7.3 g,16.6 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dippmix-chili-cheez-23g-olw/2165279
Cheezdoodles liten påse 35g OLW,"11,90 kr","0.035kg 340,00 kr/kg",500 kcal,2100 kJ,31 g,4.8 g,51 g,2.8 g,10 g,2.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cheezdoodles-liten-p%C3%A5se-35g-olw/1001443
Chokladstycksak Geisha Crunchy Hasselnötsnougat 50g Fazer,"19,90 kr","0.05kg 398,00 kr/kg",525 kcal,2195 kJ,30 g,16 g,56 g,47 g,7.3 g,0.55 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladstycksak-geisha-crunchy-hasseln%C3%B6tsnougat-50g-fazer/2134211
Sandwiches 8-p vegansk 320g Valsoia,"61,00 kr","8 per frp 7,63 kr/st",286 kcal,1205 kJ,7.6 g,5.2 g,49 g,21 g,4.7 g,0.48 g,1.4 g,,,,1.5 µg,,,,,,,,,,,120 mg,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwiches-8-p-vegansk-320g-valsoia/2094494
Godis Ferrari 130g Toms,"20,90 kr","0.13kg 160,77 kr/kg",359 kcal,1526 kJ,0.5 g,0.1 g,83 g,50 g,5.4 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-ferrari-130g-toms/1493375
Marsglass 6-p Mars,"69,00 kr","6 per frp 11,50 kr/st",266 kcal,1114 kJ,14 g,8.4 g,32 g,25 g,3 g,0.19 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/marsglass-6-p-mars/2094362
Caramel Milk Choco 100g Treatville,"19,90 kr","0.1kg 199,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/caramel-milk-choco-100g-treatville/2049322
Praliner Rocher 4-p 50g Ferrero,"22,90 kr","0.05kg 458,00 kr/kg",603 kcal,2506 kJ,42.7 g,14.1 g,44.4 g,39.9 g,8.2 g,0.153 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/praliner-rocher-4-p-50g-ferrero/1000843
Classic Lemon sockerfri 25g Läkerol,"19,90 kr","0.025kg 796,00 kr/kg",216 kcal,861 kJ,0.7 g,0.2 g,55 g,0 g,1 g,0.73 g,,54 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/classic-lemon-sockerfri-25g-l%C3%A4kerol/2091673
Stora Nappar Sur & Skum 150g Haribo,"24,90 kr","0.15kg 166,00 kr/kg",353 kcal,1499 kJ,0.5 g,0.1 g,82 g,60 g,5.1 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stora-nappar-sur-skum-150g-haribo/2079473
Nötter Honung Trippel 190 Gram DL Nöttefabrikken,"49,90 kr","0.19kg 262,63 kr/kg",592 kcal,2469 kJ,47 g,5.3 g,20 g,14 g,22 g,1.26 g,8.2 g,,,,,,,,,,20 g,10 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tter-honung-trippel-190-gram-dl-n%C3%B6ttefabrikken/2138833
Chips Green & Garlic 150g Redhead,"40,90 kr","0.15kg 272,67 kr/kg",487 kcal,2039 kJ,26 g,2.6 g,56.4 g,1.4 g,8.2 g,1.4 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-green-garlic-150g-redhead/2149629
Tuggummi White Melon mint 29g Extra,"22,90 kr","0.029kg 789,66 kr/kg",165 kcal,689 kJ,0 g,0 g,69 g,0 g,0 g,0.05 g,,69 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-white-melon-mint-29g-extra/2024124
Isglasspinne Kalas Cola Hallon 28-p Triumf Glass,"67,00 kr","28 per frp 2,39 kr/st",90 kcal,390 kJ,0.5 g,0.5 g,22 g,22 g,0.5 g,0.03 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/isglasspinne-kalas-cola-hallon-28-p-triumf-glass/2081320
Tuggummi Sockerfri Dental Dual Action Ocean Mint 30g V6,"24,90 kr","0.03kg 830,00 kr/kg",174 kcal,725 kJ,0.3 g,0.1 g,68 g,0.1 g,1.2 g,0.03 g,,68 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-sockerfri-dental-dual-action-ocean-mint-30g-v6/2150708
Bar Licorice & Almond Ekologisk 42g Getraw,"29,90 kr","0.042kg 711,90 kr/kg",458 kcal,1925 kJ,30 g,4 g,35 g,27 g,14 g,1.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bar-licorice-almond-ekologisk-42g-getraw/1526955
Crisp corn 200g Exotic Snacks,"27,90 kr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/crisp-corn-200g-exotic-snacks/2090319
Tuggummi Strawberry 21-p Extra White,"22,90 kr","0.029kg 789,66 kr/kg",164 kcal,686 kJ,0 g,0 g,67 g,0 g,0 g,0.05 g,,67 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-strawberry-21-p-extra-white/2062563
Nötmix Russin 200g Olw,"44,90 kr","0.2kg 224,50 kr/kg",608 kcal,2525 kJ,43 g,8 g,31 g,16 g,21 g,1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tmix-russin-200g-olw/2090156
Chokladkaka Jordgubb 160g Marabou,"38,90 kr","0.16kg 243,13 kr/kg",546 kcal,2282 kJ,32 g,19 g,59 g,58 g,4.6 g,0.25 g,2.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-jordgubb-160g-marabou/2166173
Chokladkonfektyr Peanut 150g M&M,"43,90 kr","0.15kg 292,67 kr/kg",524 kcal,2190 kJ,26 g,11 g,59 g,53 g,9.8 g,0.11 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkonfektyr-peanut-150g-m-m/2127939
Müslibar BIG Dark chocolate & cookies 50g Corny,"14,90 kr","0.05kg 298,00 kr/kg",431 kcal,1810 kJ,14 g,8.6 g,68 g,35 g,5.5 g,0.51 g,4.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%BCslibar-big-dark-chocolate-cookies-50g-corny/1499892
Jordnötsbågar Smoki 150g Stark,"24,90 kr","0.15kg 166,00 kr/kg",521 kcal,2176 kJ,29 g,10 g,50 g,1.8 g,13 g,2.2 g,4 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jordn%C3%B6tsb%C3%A5gar-smoki-150g-stark/1421809
Glasskopa Svart 18cm Gastromax,"36,90 kr",,,,,,,,,,,,,,,,,,,,,,,,,,Plast,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasskopa-svart-18cm-gastromax/1499186
Cheez Cruncherz Extra crispy 225g OLW,"42,90 kr","0.225kg 190,67 kr/kg",600 kcal,2450 kJ,43 g,5.6 g,44 g,1.8 g,8.1 g,1.8 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cheez-cruncherz-extra-crispy-225g-olw/1485149
GOODY Fruity Pear 90g Bubs,"15,90 kr","0.09kg 176,67 kr/kg",351 kcal,1468 kJ,0 g,0 g,87 g,61 g,0.4 g,0.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/goody-fruity-pear-90g-bubs/2097017
Salta Pinnar med Jordnötspinnar 100g Pardon,"17,90 kr","0.1kg 179,00 kr/kg",459 kcal,1923 kJ,19 g,3.5 g,54 g,5.6 g,15 g,2.3 g,4.7 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salta-pinnar-med-jordn%C3%B6tspinnar-100g-pardon/2138503
Stjärnor 100g OLW,"26,90 kr","0.1kg 269,00 kr/kg",490 kcal,2100 kJ,25 g,2.5 g,62 g,2.5 g,5 g,3.2 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stj%C3%A4rnor-100g-olw/1511708
"Gräddglass Vanilj 1,5l SIA Glass","55,00 kr","1.5L 36,67 kr/l",210 kcal,850 kJ,10 g,6.6 g,23 g,22 g,3.8 g,0.1 g,0.5 g,0.5 g,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-vanilj-1-5l-sia-glass/1008735
Chips Salt & vinäger 200g Bjäre Chips,"30,90 kr","0.2kg 154,50 kr/kg",480 kcal,2000 kJ,25.6 g,1.7 g,58.9 g,5.99 g,5.5 g,2.3 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-salt-vin%C3%A4ger-200g-bj%C3%A4re-chips/2105027
Choklad Plopp mini påse 158g Cloetta,"36,90 kr","0.158kg 233,54 kr/kg",475 kcal,1997 kJ,23 g,14 g,63 g,49 g,4.1 g,0.41 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklad-plopp-mini-p%C3%A5se-158g-cloetta/1001839
Sandwich Laktosfri 6-p SIA Glass,"59,00 kr","6 per frp 9,83 kr/st",290 kcal,1200 kJ,11 g,6.3 g,42 g,22 g,5.5 g,0.3 g,0 g,0 g,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-laktosfri-6-p-sia-glass/2154296
Dadlar Salted Caramel Peanuts 125g Dave & Jon's,"29,90 kr","0.125kg 239,20 kr/kg",389 kcal,1632 kJ,12.3 g,3.5 g,59.7 g,45.7 g,6.6 g,0.2 g,8.1 g,,,,,,,2.15 mg,,,,,,,,,,655 mg,,,https://handlaprivatkund.ica.se/stores/1004181/products/dadlar-salted-caramel-peanuts-125g-dave-jon-s/2083010
Chokladpåse M Peanut 135g Marabou,"47,90 kr","0.135kg 354,81 kr/kg",513 kcal,2148 kJ,26 g,11 g,59 g,59 g,9.2 g,0.1 g,3.6 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladp%C3%A5se-m-peanut-135g-marabou/2159034
Choklad Bridge Original 180g Cloetta,"40,90 kr","0.18kg 227,22 kr/kg",466 kcal,1961 kJ,19 g,10 g,68 g,63 g,5 g,0.13 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklad-bridge-original-180g-cloetta/1403862
Nötter Gourmémix Salt 175g Nutisal,"42,90 kr","0.175kg 245,14 kr/kg",622 kcal,2575 kJ,53 g,6.5 g,14 g,5.2 g,19 g,1.4 g,,0 g,,,,,,,,,30 g,12 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tter-gourm%C3%A9mix-salt-175g-nutisal/1484453
Dadlar Strawberry Milkshake 125g DAVE & JON'S,"29,90 kr","0.125kg 239,20 kr/kg",325 kcal,1360 kJ,3 g,1.8 g,64.7 g,52.5 g,2.3 g,0 g,12.1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dadlar-strawberry-milkshake-125g-dave-jon-s/2149661
Julenisser Fruktsmak 22g Cloetta,"6,90 kr","0.022kg 313,64 kr/kg",340 kcal,1300 kJ,0 g,0 g,73 g,65 g,4 g,0.04 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/julenisser-fruktsmak-22g-cloetta/1413286
Mörk choklad 500ml Triumf Glass,"24,90 kr","0.5L 49,80 kr/l",220 kcal,950 kJ,12 g,6.8 g,23 g,21 g,3.7 g,0.31 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%B6rk-choklad-500ml-triumf-glass/2120080
Bittermandel 50g ICA,"22,90 kr","0.05kg 458,00 kr/kg",611 kcal,2525 kJ,52 g,37 g,8.2 g,4.6 g,23 g,0.02 g,10 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bittermandel-50g-ica/2002106
Chips Dill 275g Estrella,"40,90 kr","0.275kg 148,73 kr/kg",517 kcal,2154 kJ,33 g,2.6 g,46 g,2.2 g,5.8 g,1.6 g,5.4 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-dill-275g-estrella/1512390
Glass Mini Twister Mallooww 8-p Twister,"55,00 kr","8 per frp 6,88 kr/st",99 kcal,414 kJ,1.1 g,0.9 g,20 g,16 g,0.5 g,0.03 g,1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-mini-twister-mallooww-8-p-twister/2154424
Popcorn Smörsmak Micropop 3-p 240g OLW,"30,90 kr","0.24kg 128,75 kr/kg",450 kcal,1850 kJ,17 g,6.3 g,60 g,0.7 g,8.8 g,2.3 g,10 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/popcorn-sm%C3%B6rsmak-micropop-3-p-240g-olw/2043698
Milk Chocolate 100g Treatville,"19,90 kr","0.1kg 199,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/milk-chocolate-100g-treatville/2049324
Glass Jordgubb & Lemon Curd 4-p Triumf Glass,"52,00 kr","4 per frp 13,00 kr/st",310 kcal,1250 kJ,22 g,18 g,25 g,24 g,3 g,0.12 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-jordgubb-lemon-curd-4-p-triumf-glass/2154444
Halstabletter Mint sockerfri 25g Fisherman's Friend,"20,90 kr","0.025kg 836,00 kr/kg",242 kcal,1006 kJ,0.5 g,0.5 g,98 g,0.5 g,0.5 g,0.01 g,0 g,98 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstabletter-mint-sockerfri-25g-fisherman-s-friend/1001596
Halstabletter Extra starka Citron 80g Karamellpojkarna,"16,90 kr","0.08kg 211,25 kr/kg",387 kcal,1646 kJ,0 g,0 g,96 g,96 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstabletter-extra-starka-citron-80g-karamellpojkarna/1378325
Chokladstycksak Karl Fazer Crunchy Kola & Nougat 55g Fazer,"19,90 kr","0.055kg 361,82 kr/kg",506 kcal,2115 kJ,26 g,16 g,59 g,50 g,7 g,0.8 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladstycksak-karl-fazer-crunchy-kola-nougat-55g-fazer/2134212
